[2025-11-20 15-35-58] [2025-11-20 15:35:58] [module_ajax_request] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX požadavek: modul='financial_reports', akce='closeAlert', tenant=1  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=closeAlert&alertId=vat_danger_2_5mil&userId=1 
[2025-11-20 15-35-58] [2025-11-20 15:35:58] [module_ajax_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX úspěch: modul='financial_reports', akce='closeAlert', time=22.88ms  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=closeAlert&alertId=vat_danger_2_5mil&userId=1 
[2025-11-20 15-39-27] [2025-11-20 15:39:27] [module_ajax_request] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX požadavek: modul='financial_reports', akce='getAllData', tenant=1  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=getAllData 
[2025-11-20 15-39-27] [2025-11-20 15:39:27] [module_ajax_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX úspěch: modul='financial_reports', akce='getAllData', time=36.99ms  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=getAllData 
[2025-11-20 15-42-35] [2025-11-20 15:42:35] [module_ajax_request] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX požadavek: modul='financial_reports', akce='getAllData', tenant=1  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=getAllData 
[2025-11-20 15-42-35] [2025-11-20 15:42:35] [module_ajax_success] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] AJAX úspěch: modul='financial_reports', akce='getAllData', time=74.4ms  @  http://localhost:8000/moduleadmin/detail/financial_reports?do=moduleData&moduleId=financial_reports&action=getAllData 
[2025-11-20 15-48-10] [2025-11-20 15:48:10] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Načítání menu z 4 aktivních modulů  @  http://localhost:8000/moduleadmin/detail/financial_reports?view=vat_status 
[2025-11-20 15-48-10] [2025-11-20 15:48:10] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Hledám Module.php pro financial_reports na cestě: D:\_coding\nette\fakturacni-system\app/Modules/tenant_1/financial_reports/Module.php  @  http://localhost:8000/moduleadmin/detail/financial_reports?view=vat_status 
[2025-11-20 15-48-10] [2025-11-20 15:48:10] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci tenant-specific třídy: Modules\Tenant1\Financial_reports\Module pro modul: financial_reports (tenant: 1)  @  http://localhost:8000/moduleadmin/detail/financial_reports?view=vat_status 
[2025-11-20 15-48-10] [2025-11-20 15:48:10] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Vytvářím instanci třídy: Modules\Tenant1\Financial_reports\Module pro modul: financial_reports  @  http://localhost:8000/moduleadmin/detail/financial_reports?view=vat_status 
[2025-11-20 15-48-10] [2025-11-20 15:48:10] [module_menu_debug] [IP: ::1] [UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36] Modul financial_reports vrátil 3 menu položek  @  http://localhost:8000/moduleadmin/detail/financial_reports?view=vat_status 
